%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1698638744898396521,0.619742459541343,0.0,0.0,0.0,0.0,0.09170965623409119
1698638744908250114,0.6210549896421328,0.0,0.0,0.0,0.0,0.09227920187912231
1698638744918221004,0.6222439223517242,0.0,0.0,0.0,0.0,0.09368841289934433
1698638744928261510,0.6239393810857753,0.0,0.0,0.0,0.0,0.09392517405226294
1698638744938176970,0.6240891020068401,0.0,0.0,0.0,0.0,0.09468627215401029
1698638744948241121,0.6252254680893642,0.0,0.0,0.0,0.0,0.09619412660008596
1698638744958410384,0.6267408260668421,0.0,0.0,0.0,0.0,0.0969134894932141
1698638744968280651,0.6280588145189405,0.0,0.0,0.0,0.0,0.09812834121074118
1698638744978267689,0.6294045408708749,0.0,0.0,0.0,0.0,0.09862916500618597
1698638744988318308,0.6305086398311501,0.0,0.0,0.0,0.0,0.09885357045258457
1698638744998399408,0.6307279624190539,0.0,0.0,0.0,0.0,0.09919447279503121
1698638745008228192,0.6320845407667324,0.0,0.0,0.0,0.0,0.09999123967104737
1698638745018554585,0.6332464979945148,0.0,0.0,0.0,0.0,0.10134609406364996
1698638745028255253,0.634520072711949,0.0,0.0,0.0,0.0,0.10304314281588371
1698638745038223604,0.6359737844667611,0.0,0.0,0.0,0.0,0.10467219877195988
1698638745048265267,0.637004010490092,0.0,0.0,0.0,0.0,0.10635797017141403
1698638745058307536,0.6371517032408978,0.0,0.0,0.0,0.0,0.10697489405973315
1698638745068386868,0.6380806361617607,0.0,0.0,0.0,0.0,0.1081996391270362
1698638745078378231,0.6393051705505898,0.0,0.0,0.0,0.0,0.10966431440070505
1698638745088222420,0.6394302731879874,0.0,0.0,0.0,0.0,0.11054213043461428
1698638745098269560,0.6396395615242656,0.0,0.0,0.0,0.0,0.11099787407518151
1698638745108219248,0.6405968674713964,0.0,0.0,0.0,0.0,0.111334613685328
1698638745118341605,0.6418709803473804,0.0,0.0,0.0,0.0,0.1129097946634881
1698638745128237793,0.6426487546450458,0.0,0.0,0.0,0.0,0.11303873457116875
1698638745138690854,0.6443922584580757,0.0,0.0,0.0,0.0,0.1135143414279369
1698638745148283445,0.6452097068574384,0.0,0.0,0.0,0.0,0.11459622118421257
1698638745158428814,0.645835586001126,0.0,0.0,0.0,0.0,0.11595300078895301
1698638745168367592,0.6464065878287352,0.0,0.0,0.0,0.0,0.11682617808057795
1698638745178427175,0.6484888384465427,0.0,0.0,0.0,0.0,0.11741229726524771
1698638745188195649,0.6502527409920542,0.0,0.0,0.0,0.0,0.11756105467275682
1698638745198223660,0.6515476004362851,0.0,0.0,0.0,0.0,0.11849244211568942
1698638745208280044,0.6527523836177035,0.0,0.0,0.0,0.0,0.11975334400215384
1698638745218323029,0.6530747845784809,0.0,0.0,0.0,0.0,0.12009984655935528
1698638745228320878,0.655471602469704,0.0,0.0,0.0,0.0,0.1204877864184525
1698638745238244688,0.6556741234465853,0.0,0.0,0.0,0.0,0.12101575303162544
1698638745248320963,0.6557770493404815,0.0,0.0,0.0,0.0,0.1213053582244941
1698638745258283462,0.6577691757473559,0.0,0.0,0.0,0.0,0.12203429970621832
1698638745268311079,0.6592108725468806,0.0,0.0,0.0,0.0,0.12258600541754686
1698638745278328190,0.6597246531364087,0.0,0.0,0.0,0.0,0.1225973248896947
1698638745288329758,0.6611427995857283,0.0,0.0,0.0,0.0,0.12376906893726505
1698638745298270885,0.6630569963004238,0.0,0.0,0.0,0.0,0.12465860957698015
1698638745308299444,0.6635178267965619,0.0,0.0,0.0,0.0,0.12541435384387584
1698638745318216526,0.6650204801776906,0.0,0.0,0.0,0.0,0.12773307178014523
1698638745328239083,0.6655642016313751,0.0,0.0,0.0,0.0,0.12785776860506431
1698638745338383799,0.6663455611196826,0.0,0.0,0.0,0.0,0.12857958622264556
1698638745348319846,0.6675425356082502,0.0,0.0,0.0,0.0,0.12888592437162494
1698638745358242440,0.6683682775141129,0.0,0.0,0.0,0.0,0.12983385895916566
1698638745368225541,0.6694111787604529,0.0,0.0,0.0,0.0,0.1305070154768008
