x_position_input,y_position_input,yaw_input,input_time,vel_x_input,vel_y_input,vel_w_input,x_ref,y_ref,yaw_ref,con_x_input,con_z_input,con_time,x_position_output,y_position_output,yaw_output,output_time,vel_x_output,vel_y_output,vel_w_output
0.978896,0.114015,0.118641,405.8,0.436391,0.0513576,0.0537355,0.979574,0.0688793,0.1404,0.364712,0.0246784,405.811,0.987412,0.11499,0.119881,405.821,0.422259,0.0494711,0.0423652,
0.987412,0.11499,0.119881,405.821,0.422259,0.0494711,0.0423652,0.979574,0.0688793,0.1404,0.356628,0.0242857,405.834,0.995808,0.116049,0.120292,405.845,0.414993,0.0568334,-0.011101,
0.995808,0.116049,0.120292,405.845,0.414993,0.0568334,-0.011101,0.979574,0.0688793,0.1404,0.348655,0.0241555,405.85,1.00384,0.117305,0.119615,405.861,0.3972,0.0642598,-0.0108483,
1.00384,0.117305,0.119615,405.861,0.3972,0.0642598,-0.0108483,0.979574,0.0688793,0.1404,0.341024,0.0243699,405.871,1.01177,0.118454,0.120032,405.881,0.397015,0.0478074,0.0436959,
1.01177,0.118454,0.120032,405.881,0.397015,0.0478074,0.0436959,0.979574,0.0688793,0.1404,0.333491,0.0242378,405.891,1.01974,0.119219,0.120934,405.902,0.398821,0.034801,0.0352889,
1.01974,0.119219,0.120934,405.902,0.398821,0.034801,0.0352889,0.979574,0.0688793,0.1404,0.32593,0.023952,405.911,1.02764,0.12007,0.121324,405.923,0.390688,0.0512961,0.00728215,
1.02764,0.12007,0.121324,405.923,0.390688,0.0512961,0.00728215,1.08758,0.0850034,0.156,0.408962,0.0282795,405.936,1.03917,0.121708,0.121495,405.946,0.38378,0.0514318,0.0166175,
1.03917,0.121708,0.121495,405.946,0.38378,0.0514318,0.0166175,1.08758,0.0850034,0.156,0.398021,0.0282254,405.952,1.04306,0.1222,0.121709,405.962,0.393976,0.0478414,0.0236248,
1.04306,0.1222,0.121709,405.962,0.393976,0.0478414,0.0236248,1.08758,0.0850034,0.156,0.394337,0.0281574,405.971,1.05123,0.123157,0.122187,405.981,0.421283,0.0488247,0.0221521,
1.05123,0.123157,0.122187,405.981,0.421283,0.0488247,0.0221521,1.08758,0.0850034,0.156,0.386596,0.0280059,405.99,1.05956,0.124129,0.123229,406.001,0.416656,0.0502884,0.0447651,
1.05956,0.124129,0.123229,406.001,0.416656,0.0502884,0.0447651,1.08758,0.0850034,0.156,0.378697,0.0276757,406.01,1.06789,0.125212,0.123634,406.021,0.410346,0.0580393,-0.0223287,
1.06789,0.125212,0.123634,406.021,0.410346,0.0580393,-0.0223287,1.08758,0.0850034,0.156,0.370806,0.0275475,406.029,1.07612,0.126465,0.123196,406.039,0.41435,0.0632,-0.0103443,
